name,code,begin_date,end_date,parent_committee_id,member_id
Children and Families,SSHR09,,2021-01-03,SSHR,H001076
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,H001076
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,H001089
Federal Spending Oversight and Emergency Management,SSGA18,2019-01-31,2021-01-03,SSGA,H001089
Strategic Forces,SSAS16,,2021-01-03,SSAS,H001089
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,H001089
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,H001089
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,H001089
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,H001089
Seapower,SSAS13,,2021-01-03,SSAS,H001089
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,H001046
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,H001046
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,H001046
Strategic Forces,SSAS16,,2021-01-03,SSAS,H001046
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,H001046
Cybersecurity,SSAS21,,2021-01-03,SSAS,H001046
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,H001042
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,H001042
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,H001042
Intellectual Property,SSJU26,,2021-01-03,SSJU,H001042
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,H001042
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,H001042
the Constitution,SSJU21,,2021-01-03,SSJU,H001042
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,H001042
Seapower,SSAS13,,2021-01-03,SSAS,H001042
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,H001042
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,H001061
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,H001061
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,H001061
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,H001061
Defense,SSAP02,,2021-01-03,SSAP,H001061
Homeland Security,SSAP14,,2021-01-03,SSAP,H001061
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,H001061
Energy and Water Development,SSAP22,,2021-01-03,SSAP,H001061
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,H001061
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,H001061
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,H001061
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,H001061
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,H001079
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,H001079
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,H001079
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,H001079
Legislative Branch,SSAP08,,2021-01-03,SSAP,H001079
Homeland Security,SSAP14,,2021-01-03,SSAP,H001079
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,H001079
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,H001079
Energy and Water Development,SSAP22,,2021-01-03,SSAP,H001079
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,H001079
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,H001079
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,H001079
Strategic Forces,SSAS16,,2021-01-03,SSAS,I000024
Personnel,SSAS17,,2021-01-03,SSAS,I000024
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,I000024
Cybersecurity,SSAS21,,2021-01-03,SSAS,I000024
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,I000024
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2021-01-03,SSEV,I000024
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,I000024
Seapower,SSAS13,,2021-01-03,SSAS,I000024
Airland,SSAS14,,2021-01-03,SSAS,I000024
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,I000024
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,J000293
Federal Spending Oversight and Emergency Management,SSGA18,2019-01-31,2021-01-03,SSGA,J000293
Regulatory Affairs and Federal Management,SSGA19,2019-01-31,2021-01-03,SSGA,J000293
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,J000293
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,J000293
"Science, Oceans, Fisheries, and Weather",SSCM30,2019-01-24,2021-01-03,SSCM,J000293
Security,SSCM31,,2021-01-03,SSCM,J000293
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,J000293
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2021-01-03,SSFR,J000293
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,J000293
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,K000384
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,K000384
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,K000384
Children and Families,SSHR09,,2021-01-03,SSHR,K000384
Seapower,SSAS13,,2021-01-03,SSAS,K000384
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,K000384
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,K000384
"Securities, Insurance, and Investment",SSBK04,2019-01-18,2021-01-03,SSBK,K000393
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,K000393
Economic Policy,SSBK12,2019-01-18,2021-01-03,SSBK,K000393
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,K000393
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,K000393
Homeland Security,SSAP14,,2021-01-03,SSAP,K000393
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,K000393
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,K000393
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,K000393
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,K000393
Energy and Water Development,SSAP22,,2021-01-03,SSAP,K000393
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,K000393
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,K000383
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,K000383
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,K000383
Strategic Forces,SSAS16,,2021-01-03,SSAS,K000383
Seapower,SSAS13,,2021-01-03,SSAS,K000383
Airland,SSAS14,,2021-01-03,SSAS,K000383
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,K000367
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,K000367
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,K000367
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,K000367
Security,SSCM31,,2021-01-03,SSCM,K000367
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,K000367
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,K000367
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,K000367
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,K000367
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,K000367
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,K000367
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,K000367
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,K000367
Fiscal Responsibility and Economic Growth,SSFI14,2019-01-31,2021-01-03,SSFI,L000575
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,L000575
Regulatory Affairs and Federal Management,SSGA19,2019-01-31,2021-01-03,SSGA,L000575
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,L000575
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,L000575
Legislative Branch,SSAP08,,2021-01-03,SSAP,L000575
Homeland Security,SSAP14,,2021-01-03,SSAP,L000575
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,L000575
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,L000575
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,L000575
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,L000174
Intellectual Property,SSJU26,,2021-01-03,SSJU,L000174
Defense,SSAP02,,2021-01-03,SSAP,L000174
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,L000174
Legislative Branch,SSAP08,,2021-01-03,SSAP,L000174
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,L000174
Homeland Security,SSAP14,,2021-01-03,SSAP,L000174
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,L000174
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,L000174
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,L000174
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,L000174
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,L000174
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,L000174
Energy and Water Development,SSAP22,,2021-01-03,SSAP,L000174
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,L000174
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,L000174
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,L000174
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,L000174
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,L000174
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,L000577
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,L000577
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,L000577
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,L000577
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,L000577
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,L000577
Security,SSCM31,,2021-01-03,SSCM,L000577
Intellectual Property,SSJU26,,2021-01-03,SSJU,L000577
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,L000577
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,L000577
the Constitution,SSJU21,,2021-01-03,SSJU,L000577
Health,HSIF14,2019-01-15,2021-01-03,HSIF,L000570
Communications and Technology,HSIF16,2019-01-15,2021-01-03,HSIF,L000570
"Innovation, Data, and Commerce",HSIF17,2019-01-15,2021-01-03,HSIF,L000570
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,M001183
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,M001183
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,M001183
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,M001183
Strategic Forces,SSAS16,,2021-01-03,SSAS,M001183
Cybersecurity,SSAS21,,2021-01-03,SSAS,M001183
Homeland Security,SSAP14,,2021-01-03,SSAP,M001183
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,M001183
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,M001183
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,M001183
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,M001183
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,M000133
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,M000133
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,M000133
Security,SSCM31,,2021-01-03,SSCM,M000133
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2021-01-03,SSFR,M000133
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,M000133
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,M000133
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,M000133
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2021-01-03,SSEV,M000133
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,M000133
"Commodity Markets, Digital Assets, and Rural Development",HSAG22,2019-02-06,2021-01-03,HSAG,M001198
"Livestock, Dairy, and Poultry",HSAG29,2019-02-06,2021-01-03,HSAG,M001198
Research and Technology,HSSY15,,2021-01-03,HSSY,M001198
Environment,HSSY18,,2021-01-03,HSSY,M001198
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,M000355
Defense,SSAP02,,2021-01-03,SSAP,M000355
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,M000355
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,M000355
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,M000355
Energy and Water Development,SSAP22,,2021-01-03,SSAP,M000355
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,M000355
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,M000355
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,M000355
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,M000639
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,M000639
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,M000639
"Securities, Insurance, and Investment",SSBK04,2019-01-18,2021-01-03,SSBK,M000639
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,M000639
Economic Policy,SSBK12,2019-01-18,2021-01-03,SSBK,M000639
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,M000639
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2021-01-03,SSFR,M000639
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,M000639
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,M000639
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,M000639
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,M000639
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,M000639
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,M001176
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,M001176
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2021-01-03,SSFR,M001176
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,M001176
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,M001176
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,M001176
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,M001176
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,M001176
Energy and Water Development,SSAP22,,2021-01-03,SSAP,M001176
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,M001176
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,M001176
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,M000934
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,M000934
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,M000934
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,M000934
National Security and International Trade and Finance,SSBK05,2019-01-18,2021-01-03,SSBK,M000934
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,M000934
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,M000934
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,M000934
Defense,SSAP02,,2021-01-03,SSAP,M000934
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,M000934
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,M000934
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,M000934
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,M000934
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,M001153
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,M001153
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,M001153
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,M001153
Defense,SSAP02,,2021-01-03,SSAP,M001153
Homeland Security,SSAP14,,2021-01-03,SSAP,M001153
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,M001153
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,M001153
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,M001153
Energy and Water Development,SSAP22,,2021-01-03,SSAP,M001153
Children and Families,SSHR09,,2021-01-03,SSHR,M001153
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,M001153
Legislative Branch,SSAP08,,2021-01-03,SSAP,M001169
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,M001169
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,M001169
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,M001169
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,M001169
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,M001169
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,M001169
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,M001169
Children and Families,SSHR09,,2021-01-03,SSHR,M001169
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,M001169
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,M001111
Defense,SSAP02,,2021-01-03,SSAP,M001111
Homeland Security,SSAP14,,2021-01-03,SSAP,M001111
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,M001111
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,M001111
Energy and Water Development,SSAP22,,2021-01-03,SSAP,M001111
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,M001111
Children and Families,SSHR09,,2021-01-03,SSHR,M001111
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,M001111
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,P000603
Federal Spending Oversight and Emergency Management,SSGA18,2019-01-31,2021-01-03,SSGA,P000603
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,P000603
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,P000603
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,P000603
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,P000603
Children and Families,SSHR09,,2021-01-03,SSHR,P000603
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,P000603
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,P000595
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,P000595
"Science, Oceans, Fisheries, and Weather",SSCM30,2019-01-24,2021-01-03,SSCM,P000595
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,P000595
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,P000595
Airland,SSAS14,,2021-01-03,SSAS,P000595
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,P000449
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,P000449
Regulatory Affairs and Federal Management,SSGA19,2019-01-31,2021-01-03,SSGA,P000449
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,P000449
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,P000449
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,P000449
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,P000449
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,P000449
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,P000449
"Securities, Insurance, and Investment",SSBK04,2019-01-18,2021-01-03,SSBK,R000122
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,R000122
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,R000122
Strategic Forces,SSAS16,,2021-01-03,SSAS,R000122
Personnel,SSAS17,,2021-01-03,SSAS,R000122
Defense,SSAP02,,2021-01-03,SSAP,R000122
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,R000122
Cybersecurity,SSAS21,,2021-01-03,SSAS,R000122
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,R000122
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,R000122
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,R000122
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,R000122
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,R000122
Seapower,SSAS13,,2021-01-03,SSAS,R000122
Airland,SSAS14,,2021-01-03,SSAS,R000122
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,R000122
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,R000584
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,R000584
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,R000584
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,R000584
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2021-01-03,SSFR,R000584
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,R000584
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,R000584
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,R000584
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,R000584
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,R000584
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,R000615
Regulatory Affairs and Federal Management,SSGA19,2019-01-31,2021-01-03,SSGA,R000615
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,R000615
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,R000615
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,R000615
Children and Families,SSHR09,,2021-01-03,SSHR,R000615
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,R000615
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,R000615
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,R000608
Regulatory Affairs and Federal Management,SSGA19,2019-01-31,2021-01-03,SSGA,R000608
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,R000608
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,R000608
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,R000608
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,R000608
Security,SSCM31,,2021-01-03,SSCM,R000608
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,R000608
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,2019-01-28,2021-01-03,SSEV,R000605
"Securities, Insurance, and Investment",SSBK04,2019-01-18,2021-01-03,SSBK,R000605
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,R000605
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,R000605
Strategic Forces,SSAS16,,2021-01-03,SSAS,R000605
Personnel,SSAS17,,2021-01-03,SSAS,R000605
Cybersecurity,SSAS21,,2021-01-03,SSAS,R000605
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,R000605
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,R000605
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,R000595
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,R000595
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2021-01-03,SSFR,R000595
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,R000595
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,R000595
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,R000595
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,R000595
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,R000595
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,S000033
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,S000033
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,S000033
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,S000033
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,S000033
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,S000033
Children and Families,SSHR09,,2021-01-03,SSHR,S000033
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,S000033
National Security and International Trade and Finance,SSBK05,2019-01-18,2021-01-03,SSBK,S001197
