,full_name,state,"AGRICULTURE, NUTRITION, AND FORESTRY",BUDGET,ENVIRONMENT AND PUBLIC WORKS,FINANCE,"CLEAN AIR, CLIMATE, AND NUCLEAR SAFETY","ENERGY, NATURAL RESOURCES, AND INFRASTRUCTURE","FISHERIES, WATER, AND WILDLIFE",HEALTH CARE,"INTERNATIONAL TRADE, CUSTOMS, AND GLOBAL COMPETITIVENESS",TRANSPORTATION AND INFRASTRUCTURE,"BANKING, HOUSING, AND URBAN AFFAIRS",VETERANS’ AFFAIRS,"FOOD AND NUTRITION, SPECIALTY CROPS, ORGANICS, AND RESEARCH","LIVESTOCK, DAIRY, POULTRY, LOCAL FOOD SYSTEMS, AND FOOD SAFETY AND SECURITY","SOCIAL SECURITY, PENSIONS, AND FAMILY POLICY","COMMERCE, SCIENCE, AND TRANSPORTATION",JUDICIARY,RULES AND ADMINISTRATION,"COMMUNICATIONS, MEDIA, AND BROADBAND","COMPETITION POLICY, ANTITRUST, AND CONSUMER RIGHTS","CONSERVATION, CLIMATE, FORESTRY, AND NATURAL RESOURCES","CONSUMER PROTECTION, PRODUCT SAFETY, AND DATA SECURITY",CRIMINAL JUSTICE AND COUNTERTERRORISM,"IMMIGRATION, CITIZENSHIP, AND BORDER SAFETY","PRIVACY, TECHNOLOGY, AND THE LAW",RURAL DEVELOPMENT AND ENERGY,"SURFACE TRANSPORTATION, MARITIME, FREIGHT, AND PORTS","TOURISM, TRADE, AND EXPORT PROMOTION",TAXATION AND IRS OVERSIGHT,ARMED SERVICES,"COMMODITIES, RISK MANAGEMENT, AND TRADE",CYBERSECURITY,EMERGING THREATS AND CAPABILITIES,STRATEGIC FORCES,"HEALTH, EDUCATION, LABOR, AND PENSIONS",CHILDREN AND FAMILIES,ECONOMIC POLICY,FINANCIAL INSTITUTIONS AND CONSUMER PROTECTION,"HOUSING, TRANSPORTATION, AND COMMUNITY DEVELOPMENT",PRIMARY HEALTH AND RETIREMENT SECURITY,APPROPRIATIONS,DEFENSE,ENERGY AND WATER DEVELOPMENT,FINANCIAL SERVICES AND GENERAL GOVERNMENT,"LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES","STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS","TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES",FOREIGN RELATIONS,SMALL BUSINESS AND ENTREPRENEURSHIP,AFRICA AND GLOBAL HEALTH POLICY,"FEDERAL COURTS, OVERSIGHT, AGENCY ACTION, AND FEDERAL RIGHTS","NEAR EAST, SOUTH ASIA, CENTRAL ASIA, AND COUNTERTERRORISM","STATE DEPARTMENT AND USAID MANAGEMENT, INTERNATIONAL OPERATIONS, AND BILATERAL INTERNATIONAL DEVELOPMENT",THE CONSTITUTION,EMPLOYMENT AND WORKPLACE SAFETY,"OCEANS, FISHERIES, CLIMATE CHANGE, AND MANUFACTURING",SPACE AND SCIENCE,"AVIATION SAFETY, OPERATIONS, AND INNOVATION","SECURITIES, INSURANCE, AND INVESTMENT",HUMAN RIGHTS AND THE LAW,INTELLECTUAL PROPERTY,"CHEMICAL SAFETY, WASTE MANAGEMENT, ENVIRONMENTAL JUSTICE, AND REGULATORY OVERSIGHT","MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES","AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES","INTERIOR, ENVIRONMENT, AND RELATED AGENCIES",ENERGY AND NATURAL RESOURCES,ENERGY,WATER AND POWER,AIRLAND,HOMELAND SECURITY,NATIONAL PARKS,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS,PERMANENT SUBCOMMITTEE ON INVESTIGATIONS,READINESS AND MANAGEMENT SUPPORT,SEAPOWER,FISCAL RESPONSIBILITY AND ECONOMIC GROWTH,"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES",LEGISLATIVE BRANCH,NATIONAL SECURITY AND INTERNATIONAL TRADE AND FINANCE,EUROPE AND REGIONAL SECURITY COOPERATION,"MULTILATERAL INTERNATIONAL DEVELOPMENT, MULTILATERAL INSTITUTIONS, AND INTERNATIONAL ECONOMIC, ENERGY, AND ENVIRONMENTAL POLICY","WESTERN HEMISPHERE, TRANSNATIONAL CRIME, CIVILIAN SECURITY, DEMOCRACY, HUMAN RIGHTS, AND GLOBAL WOMEN’S ISSUES","EAST ASIA, THE PACIFIC, AND INTERNATIONAL CYBERSECURITY POLICY","PUBLIC LANDS, FORESTS, AND MINING",GOVERNMENT OPERATIONS AND BORDER MANAGEMENT,PERSONNEL,EMERGING THREATS AND SPENDING OVERSIGHT,
65,Mark R. Warner,Virginia,,7.0,,7.0,,,,4.0,4.0,,7.0,,,,4.0,,,7.0,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
66,Catherine Cortez Masto,Nevada,,,,9.0,,3.0,,3.0,3.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,3.0,,,,,,,,,,,3.0,,,,,3.0,,,,
67,Kyrsten Sinema,Arizona,,,,,,,,,,,9.0,9.0,,,,9.0,,,4.0,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,9.0,,,,,,,4.0,,,,,,4.0,,4.0,
68,Mike Crapo,Idaho,,3.0,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Thom Tillis,North Carolina,,,,9.0,,,,,4.0,,9.0,9.0,,,4.0,,9.0,,,4.0,,,,4.0,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,4.0,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Cynthia M. Lummis,Wyoming,,,9.0,,3.0,,3.0,,,3.0,9.0,,,,,9.0,,,3.0,,,3.0,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,J.D. Vance,Ohio,,,,,,,,,,,6.0,,,,,6.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Steve Daines,Montana,,,,7.0,,3.0,,3.0,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,3.0,,,,,,,,3.0,,,,,3.0,,,,
73,Sheldon Whitehouse,Rhode Island,,10.0,10.0,10.0,4.0,4.0,4.0,4.0,,,,,,,,,10.0,,,4.0,,,4.0,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Ron Wyden,Oregon,,9.0,,9.0,,3.0,,3.0,3.0,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,3.0,,,,,,,,3.0,,,,,,,,3.0,,,,
75,Bernard Sanders,Vermont,,6.0,6.0,,5.0,,,,,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,6.0,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,
76,Alex Padilla,California,,10.0,10.0,,5.0,,5.0,,,5.0,,,,,,,10.0,10.0,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,10.0,5.0,,,,,,,,,,,,5.0,,,
77,Ron Johnson,Wisconsin,,5.0,,5.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,3.0,,,
78,Mitt Romney,Utah,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,,,7.0,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,4.0,,4.0,,4.0,,4.0,
79,Mike Lee,Utah,,8.0,,,,,,,,,,,,,,,8.0,,,3.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,8.0,,3.0,,,3.0,,,,,,,,,,,,,3.0,,,,
80,Maria Cantwell,Washington,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0
81,Edward J. Markey,Massachusetts,,,11.0,,4.0,,4.0,,,4.0,,,,,,11.0,,,4.0,,,4.0,,,,,4.0,,,,,,,,11.0,,,,,4.0,,,,,,,,,11.0,,,,,,4.0,4.0,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,John W. Hickenlooper,Colorado,,,,,,,,,,,,,,,,10.0,,,4.0,,,4.0,,,,,,4.0,,,,,,,10.0,,,,,4.0,,,,,,,,,10.0,,,,,,4.0,,4.0,4.0,,,,,,,,10.0,4.0,4.0,,,,,,,,,,,,,,,,4.0,,,,
83,Ted Cruz,Texas,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
84,Marsha Blackburn,Tennessee,,,,12.0,,,,4.0,,,,12.0,,,4.0,12.0,12.0,,4.0,4.0,,4.0,,4.0,4.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Todd Young,Indiana,,,,10.0,,,,4.0,4.0,,,,,,4.0,10.0,,,4.0,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,10.0,10.0,4.0,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
86,John Barrasso,Wyoming,,,,6.0,,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,3.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,3.0,,,,,,,
87,James E. Risch,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,3.0,,,,
88,Bill Cassidy,Louisiana,,,,6.0,,,,4.0,4.0,,,6.0,,,4.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,4.0,,,,,,,,,,,,,,,,4.0,,,,
89,Josh Hawley,Missouri,,,,,,,,,,,,,,,,,7.0,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.0,,,,,,,,,4.0,,,,,,7.0,4.0,,,,,7.0,4.0,,,,,,,,,,,4.0,,,,
90,Thomas R. Carper,Delaware,,,5.0,5.0,,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,3.0,,,
91,Benjamin L. Cardin,Maryland,,,10.0,10.0,4.0,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10.0,10.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,
92,Pete Ricketts,Nebraska,,,6.0,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,
93,Robert P. Casey Jr.,Pennsylvania,,,,5.0,,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Margaret Wood Hassan,New Hampshire,,,,7.0,,,,4.0,,,,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,4.0,,,,,,,,,,,4.0,
95,John Cornyn,Texas,,,,8.0,,2.0,,,2.0,,,,,,,,8.0,,,,,,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,James Lankford,Oklahoma,,,,5.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,2.0,,2.0,
97,Rand Paul,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,4.0,,,,,,,,6.0,6.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,4.0,4.0,,,,,,,
98,Jon Ossoff,Georgia,,,,,,,,,,,,,,,,,7.0,7.0,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,3.0,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,,3.0,
99,Charles E. Schumer,New York,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
