,full_name,state,"AGRICULTURE, NUTRITION, AND FORESTRY",BUDGET,ENVIRONMENT AND PUBLIC WORKS,FINANCE,"CLEAN AIR, CLIMATE, AND NUCLEAR SAFETY","FISHERIES, WATER, AND WILDLIFE",HEALTH CARE,"INTERNATIONAL TRADE, CUSTOMS, AND GLOBAL COMPETITIVENESS",TAXATION AND IRS OVERSIGHT,TRANSPORTATION AND INFRASTRUCTURE,APPROPRIATIONS,JUDICIARY,RULES AND ADMINISTRATION,"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES","COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES","COMPETITION POLICY, ANTITRUST, AND CONSUMER RIGHTS","CONSERVATION, CLIMATE, FORESTRY, AND NATURAL RESOURCES",CRIMINAL JUSTICE AND COUNTERTERRORISM,DEFENSE,"FEDERAL COURTS, OVERSIGHT, AGENCY ACTION, AND FEDERAL RIGHTS","FOOD AND NUTRITION, SPECIALTY CROPS, ORGANICS, AND RESEARCH",HOMELAND SECURITY,INTELLECTUAL PROPERTY,"INTERIOR, ENVIRONMENT, AND RELATED AGENCIES","LIVESTOCK, DAIRY, POULTRY, LOCAL FOOD SYSTEMS, AND FOOD SAFETY AND SECURITY","STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS","BANKING, HOUSING, AND URBAN AFFAIRS",VETERANS’ AFFAIRS,"COMMODITIES, RISK MANAGEMENT, AND TRADE",RURAL DEVELOPMENT AND ENERGY,"SOCIAL SECURITY, PENSIONS, AND FAMILY POLICY","COMMERCE, SCIENCE, AND TRANSPORTATION","COMMUNICATIONS, MEDIA, AND BROADBAND","CONSUMER PROTECTION, PRODUCT SAFETY, AND DATA SECURITY","IMMIGRATION, CITIZENSHIP, AND BORDER SAFETY","PRIVACY, TECHNOLOGY, AND THE LAW","SURFACE TRANSPORTATION, MARITIME, FREIGHT, AND PORTS","TOURISM, TRADE, AND EXPORT PROMOTION","ENERGY, NATURAL RESOURCES, AND INFRASTRUCTURE",ARMED SERVICES,CYBERSECURITY,EMERGING THREATS AND CAPABILITIES,PERSONNEL,"HEALTH, EDUCATION, LABOR, AND PENSIONS",CHILDREN AND FAMILIES,ECONOMIC POLICY,EMPLOYMENT AND WORKPLACE SAFETY,"HOUSING, TRANSPORTATION, AND COMMUNITY DEVELOPMENT","SECURITIES, INSURANCE, AND INVESTMENT",ENERGY AND WATER DEVELOPMENT,FINANCIAL SERVICES AND GENERAL GOVERNMENT,"LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES","TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES",FOREIGN RELATIONS,SMALL BUSINESS AND ENTREPRENEURSHIP,AFRICA AND GLOBAL HEALTH POLICY,"MULTILATERAL INTERNATIONAL DEVELOPMENT, MULTILATERAL INSTITUTIONS, AND INTERNATIONAL ECONOMIC, ENERGY, AND ENVIRONMENTAL POLICY","NEAR EAST, SOUTH ASIA, CENTRAL ASIA, AND COUNTERTERRORISM","OCEANS, FISHERIES, CLIMATE CHANGE, AND MANUFACTURING",PRIMARY HEALTH AND RETIREMENT SECURITY,SPACE AND SCIENCE,"AVIATION SAFETY, OPERATIONS, AND INNOVATION",FINANCIAL INSTITUTIONS AND CONSUMER PROTECTION,"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES",ENERGY AND NATURAL RESOURCES,ENERGY,NATIONAL PARKS,WATER AND POWER,"CHEMICAL SAFETY, WASTE MANAGEMENT, ENVIRONMENTAL JUSTICE, AND REGULATORY OVERSIGHT",READINESS AND MANAGEMENT SUPPORT,"PUBLIC LANDS, FORESTS, AND MINING",STRATEGIC FORCES,LEGISLATIVE BRANCH,HUMAN RIGHTS AND THE LAW,THE CONSTITUTION,NATIONAL SECURITY AND INTERNATIONAL TRADE AND FINANCE,EUROPE AND REGIONAL SECURITY COOPERATION,SEAPOWER,"WESTERN HEMISPHERE, TRANSNATIONAL CRIME, CIVILIAN SECURITY, DEMOCRACY, HUMAN RIGHTS, AND GLOBAL WOMEN’S ISSUES","EAST ASIA, THE PACIFIC, AND INTERNATIONAL CYBERSECURITY POLICY","STATE DEPARTMENT AND USAID MANAGEMENT, INTERNATIONAL OPERATIONS, AND BILATERAL INTERNATIONAL DEVELOPMENT",AIRLAND,FISCAL RESPONSIBILITY AND ECONOMIC GROWTH,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS,EMERGING THREATS AND SPENDING OVERSIGHT,PERMANENT SUBCOMMITTEE ON INVESTIGATIONS,GOVERNMENT OPERATIONS AND BORDER MANAGEMENT,
64,Josh Hawley,Missouri,,,,,,,,,,,,9.0,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,9.0,,,4.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,4.0,,9.0,4.0,,4.0,
65,Robert Menendez,New Jersey,,,,6.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,6.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mark R. Warner,Virginia,,6.0,,6.0,,,4.0,4.0,,,,,6.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,
67,Catherine Cortez Masto,Nevada,,,,9.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,3.0,,9.0,3.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,
68,Kyrsten Sinema,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,9.0,4.0,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,4.0,,,,,,,,9.0,4.0,,4.0,
69,Jon Ossoff,Georgia,,,,,,,,,,,,11.0,11.0,,,4.0,,4.0,,4.0,,,,,,,11.0,,,,,,,,,4.0,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,11.0,4.0,4.0,4.0,
70,Patrick J. Toomey,Pennsylvania,,3.0,,3.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mike Crapo,Idaho,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
72,Cynthia M. Lummis,Wyoming,,,10.0,,3.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,10.0,,,,,10.0,3.0,,,,3.0,3.0,,,,,,,,,,3.0,3.0,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,Steve Daines,Montana,,,,8.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,3.0,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,8.0,,3.0,,,,3.0,,,,,3.0,,,,,,,,,,,,
74,Bernard Sanders,Vermont,,8.0,8.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,8.0,5.0,,,,,,,,,,,,,,,5.0,,,,,8.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
75,Ron Wyden,Oregon,,6.0,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,3.0,,,3.0,,,,,,,,,,,,3.0,,,,,
76,Sheldon Whitehouse,Rhode Island,,10.0,10.0,10.0,4.0,4.0,4.0,,4.0,4.0,,10.0,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
77,Alex Padilla,California,,9.0,9.0,,5.0,,,,,5.0,,9.0,9.0,,,,,5.0,,5.0,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,9.0,,5.0,5.0,
78,Ron Johnson,Wisconsin,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,,,,4.0,4.0,,,,,,,,,,,,,,,,9.0,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,4.0,4.0,,,9.0,,4.0,4.0,
79,Ben Sasse,Nebraska,,7.0,,7.0,,,,3.0,3.0,,,7.0,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,
80,Mitt Romney,Utah,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,,4.0,,,,,,,7.0,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,7.0,4.0,,4.0,
81,Maria Cantwell,Washington,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0
82,Edward J. Markey,Massachusetts,,,12.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,4.0,,,4.0,,,,,,,,,,,,,,,,,12.0,12.0,,,4.0,4.0,,4.0,,,,,,,,4.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,
83,John W. Hickenlooper,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,,,,,4.0,,,,,,9.0,4.0,,4.0,,,,,,,,9.0,,,,,,4.0,4.0,,,9.0,4.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,
84,Ted Cruz,Texas,,,,,,,,,,,,12.0,12.0,,,,,4.0,,4.0,,,,,,,,,,,,12.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,12.0,,,,4.0,4.0,,4.0,4.0,,,,,,,,,,,,,4.0,,,,4.0,4.0,4.0,,,,,,,
85,Todd Young,Indiana,,,,12.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,4.0,4.0,,,4.0,,,,,,,,,,,,,,,,,12.0,12.0,4.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
86,Mike Lee,Utah,,,,,,,,,,,,11.0,,,,3.0,,3.0,,3.0,,,,,,,,,,,,11.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,11.0,,3.0,3.0,,,3.0,,,,3.0,,,,,,,,,,,,,
87,John Barrasso,Wyoming,,,,7.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,7.0,,3.0,3.0,,,,,,,,7.0,,,,,,,,,,,,3.0,,3.0,,,,,,,,,
88,James E. Risch,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,3.0,3.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,
89,James Lankford,Oklahoma,,,,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,3.0,,,,3.0,,,,,,,,,,,,,8.0,,3.0,3.0,
90,Bill Cassidy,Louisiana,,,,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,7.0,,,4.0,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,,,,,,4.0,,,,,7.0,4.0,,,,,4.0,,,,,,,,,,,,4.0,,,,,
91,Thomas R. Carper,Delaware,,,5.0,5.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,3.0,3.0,
92,Benjamin L. Cardin,Maryland,,,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,4.0,,,,,,,
93,Robert P. Casey Jr.,Pennsylvania,,,,5.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Margaret Wood Hassan,New Hampshire,,,,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,7.0,,,4.0,,,,,,,,4.0,,,,,7.0,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,4.0,,
95,John Cornyn,Texas,,,,7.0,,,,2.0,2.0,,,7.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
96,Richard Burr,North Carolina,,,,3.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
97,Rob Portman,Ohio,,,,6.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,6.0,,,,
98,Rand Paul,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,4.0,,,,,,,8.0,8.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,8.0,4.0,4.0,,
99,Charles E. Schumer,New York,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
